Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity
3/15/2018,7895.98875,617134,2.35E+19,4078700,380099682,1.41E+22,36.64624829,4406395.714,124.900002,36.830002,15.45,275,120.239998,23.559999,3.082961849,23
3/16/2018,8039.6025,593929,2.58E+19,4076750,380370755,1.41E+22,29.65177072,4405533.429,124.599998,37.169998,15.39,274.200012,119.809998,23.620001,3.082961849,23
3/17/2018,8206.555,460732,2.41E+19,4074887.5,380594412,1.41E+22,21.51541723,4404671.143,124.599998,37.169998,15.39,274.200012,119.809998,23.620001,3.082961849,23
3/18/2018,7667.99,534900,2.53E+19,4073000,380832332,1.49E+22,25.33293823,4403808.857,124.599998,37.169998,15.39,274.200012,119.809998,23.620001,3.082961849,23
3/19/2018,8189.49125,582453,2.69E+19,4071062.5,381108271,1.49E+22,30.78064883,4402946.571,124.870003,36.560001,15.39,270.48999,119.43,23.52,3.082961849,23
3/20/2018,8597.3375,568358,2.17E+19,4069475,381392905,1.49E+22,31.3790795,4402084.286,124.309998,36.880001,15.28,270.950012,118.949997,23.66,3.082961849,23
3/21/2018,9028.2975,573430,2.62E+19,4067575,381674205,1.49E+22,31.0252744,4401222,126.480003,37.889999,15.65,270.429993,119.080002,23.469999,3.082961849,23
3/22/2018,9023.7175,595109,2.45E+19,4065787.5,381944891,1.49E+22,27.7247885,4399932.857,125.980003,36.84,15.44,263.670013,120.260002,23.5,3.082961849,23
3/23/2018,8411.6525,624132,2.29E+19,4064125,382206194,1.49E+22,26.25767336,4398643.714,127.610001,36.630001,15.58,258.049988,120.169998,23.42,3.082961849,23
3/24/2018,8881.98625,538024,2.69E+19,4062175,382437087,1.49E+22,21.76498898,4397354.571,127.610001,36.630001,15.58,258.049988,120.169998,23.42,3.082961849,23
3/25/2018,8548.8125,442835,2.39E+19,4060487.5,382637595,1.49E+22,20.23147507,4396065.429,127.610001,36.630001,15.58,258.049988,120.169998,23.42,3.082961849,23
3/26/2018,8429.33124,584451,2.51E+19,4058612.5,382909930,1.49E+22,26.98506764,4394776.286,128.279999,37.279999,15.72,265.109985,119.709999,23.309999,3.082961849,23
3/27/2018,7854.6375,602492,2.61E+19,4056712.5,383180570,1.49E+22,27.51028124,4393487.143,127.489998,36.889999,15.57,260.600006,120.989998,23.42,3.082961849,23
3/28/2018,7863.255,543729,2.36E+19,4055025,383438736,1.49E+22,24.09273355,4392198,125.730003,36.209999,15.36,259.829987,121.309998,23.629999,3.082961849,23
3/29/2018,7866.36,565338,2.60E+19,4053125,383711835,1.49E+22,27.20122872,4391327.429,125.790001,36.970001,15.41,263.149994,121.900002,23.610001,3.082961849,23
3/30/2018,6861.325,570293,2.78E+19,4051100,383973884,1.49E+22,25.7646693,4390456.857,125.790001,36.970001,15.41,263.149994,121.900002,23.610001,3.082961849,23
3/31/2018,6970.36375,479741,2.21E+19,4049500,384185116,1.49E+22,20.07447617,4389586.286,125.790001,36.970001,15.41,263.149994,121.900002,23.610001,3.082961849,23
4/1/2018,6926.875,423275,2.80E+19,4047475,384380248,1.51E+22,18.28180544,4388715.714,125.790001,36.970001,15.41,263.149994,121.900002,23.610001,3.145907759,18
4/2/2018,6986.835,494663,2.73E+19,4045525,384620631,1.51E+22,21.39248333,4387845.143,127.260002,36.189999,15.65,257.470001,121.879997,23.6,3.145907759,18
4/3/2018,7182.12,594093,2.83E+19,4043487.5,384906974,1.51E+22,25.12929851,4386974.571,126.300003,36.959999,15.46,260.769989,120.940002,23.639999,3.145907759,18
4/4/2018,7295.89,567822,2.57E+19,4041650,385175366,1.51E+22,24.81899369,4386104,126.449997,36.919998,15.38,263.559998,120.690002,23.629999,3.145907759,18
