PERMNO,date,TICKER,PRC
16289,2019/09/16,FINX,29.07000
16289,2019/09/17,FINX,29.43000
16289,2019/09/18,FINX,29.40000
16289,2019/09/19,FINX,29.41000
16289,2019/09/20,FINX,29.27000
16289,2019/09/23,FINX,29.00000
16289,2019/09/24,FINX,28.83000
16289,2019/09/25,FINX,28.98000
16289,2019/09/26,FINX,29.06000
16289,2019/09/27,FINX,28.69000
16289,2019/09/30,FINX,28.77000
16289,2019/10/01,FINX,28.55000
16289,2019/10/02,FINX,27.61000
16289,2019/10/03,FINX,27.98000
16289,2019/10/04,FINX,28.63000
16289,2019/10/07,FINX,28.58000
16289,2019/10/08,FINX,28.00000
16289,2019/10/09,FINX,28.54000
16289,2019/10/10,FINX,28.59000
16289,2019/10/11,FINX,29.18000
16289,2019/10/14,FINX,29.17000
16289,2019/10/15,FINX,29.04000
16289,2019/10/16,FINX,28.80000
16289,2019/10/17,FINX,28.67000
16289,2019/10/18,FINX,28.14000
16289,2019/10/21,FINX,28.15000
16289,2019/10/22,FINX,27.40000
16289,2019/10/23,FINX,27.44000
16289,2019/10/24,FINX,27.91000
16289,2019/10/25,FINX,28.28000
16289,2019/10/28,FINX,28.32000
16289,2019/10/29,FINX,28.45000
16289,2019/10/30,FINX,28.55000
16289,2019/10/31,FINX,28.60000
16289,2019/11/01,FINX,28.93000
16289,2019/11/04,FINX,28.88000
16289,2019/11/05,FINX,28.46000
16289,2019/11/06,FINX,28.23000
16289,2019/11/07,FINX,28.69500
16289,2019/11/08,FINX,28.80000
16289,2019/11/11,FINX,29.07000
16289,2019/11/12,FINX,29.14000
16289,2019/11/13,FINX,29.21000
16289,2019/11/14,FINX,29.62000
16289,2019/11/15,FINX,29.89000
16289,2019/11/18,FINX,29.89000
16289,2019/11/19,FINX,29.87000
16289,2019/11/20,FINX,29.75000
16289,2019/11/21,FINX,29.57000
16289,2019/11/22,FINX,29.82520
16289,2019/11/25,FINX,30.23500
16289,2019/11/26,FINX,30.37030
16289,2019/11/27,FINX,30.57000
16289,2019/11/29,FINX,30.53190
16289,2019/12/02,FINX,29.95000
16289,2019/12/03,FINX,29.87920
16289,2019/12/04,FINX,30.01000
16289,2019/12/05,FINX,30.00870
16289,2019/12/06,FINX,30.04000
16289,2019/12/09,FINX,29.77000
16289,2019/12/10,FINX,29.49000
16289,2019/12/11,FINX,29.44000
16289,2019/12/12,FINX,29.65000
16289,2019/12/13,FINX,29.84000
16289,2019/12/16,FINX,30.07000
16289,2019/12/17,FINX,30.00000
16289,2019/12/18,FINX,30.12000
16289,2019/12/19,FINX,30.17000
16289,2019/12/20,FINX,30.23000
16289,2019/12/23,FINX,30.32000
16289,2019/12/24,FINX,30.37000
16289,2019/12/26,FINX,30.44000
16289,2019/12/27,FINX,30.59000
16289,2019/12/30,FINX,30.26500
16289,2019/12/31,FINX,30.37760
